Date,Beh-Property Co Ltd
20121016,173.05958903730914
20121017,171.88036601560862
20121018,167.7583984750999
20121019,168.0406322032074
20121020,168.0406322032074
20121021,168.0406322032074
20121022,166.10718246366056
20121023,161.0032291950831
20121024,160.50395901526733
20121025,163.3394277405637
20121026,165.6854171648801
20121027,165.6854171648801
20121028,165.6854171648801
20121029,164.73023607038277
20121030,162.48908898691278
20121031,168.26494681517298
20121101,161.16218624128533
20121102,144.7461981713099
20121103,144.7461981713099
20121104,144.7461981713099
20121105,149.59581749134455
20121106,153.554933563187
20121107,157.19574577986097
20121108,157.86425696071325
20121109,154.81083932223538
20121110,154.81083932223538
20121111,154.81083932223538
20121112,150.44433023577105
20121113,165.25873244281144
20121114,166.08721705298447
20121115,166.41157245543585
20121116,165.45904323978007
20121117,165.45904323978007
20121118,165.45904323978007
20121119,165.5930131758692
20121120,166.41107066467788
20121121,161.57664442522966
20121122,166.99241827716722
20121123,167.41728274255013
20121124,167.41728274255013
20121125,167.41728274255013
20121126,172.37189723342976
20121127,180.4924308234481
20121128,183.34476088067788
20121129,183.0167899317241
20121130,186.55673069216152
20121201,186.23884763964296
20121202,186.23884763964296
20121203,188.3645341285687
20121204,187.10717518979126
20121205,182.62972199277212
20121206,180.14705340424052
20121207,178.23253839379564
20121208,178.23253839379564
20121209,178.23253839379564
20121210,178.5204275015901
20121211,179.28436011386873
20121212,180.87761844455724
20121213,179.20606325441562
20121214,173.51688356830132
20121215,173.51688356830132
20121216,173.51688356830132
20121217,174.3966554821089
20121218,179.32652297791108
20121219,178.0386604036684
20121220,179.2084208584096
20121221,181.37730550184705
20121222,181.37730550184705
20121223,181.37730550184705
20121224,180.87738254584124
20121225,173.51825078041335
20121226,174.52559815525646
20121227,177.5787646458158
20121228,167.79693423110817
20121229,167.79693423110817
20121230,167.79693423110817
20121231,166.20931089714915
20130101,165.93567916387678
20130102,165.93567916387678
20130103,165.93567916387678
20130104,166.87882342121037
20130105,166.87882342121037
20130106,166.87882342121037
20130107,165.25910591147087
20130108,167.66228037135073
20130109,166.82725987357435
20130110,160.38803617646053
20130111,166.73331908630982
20130112,166.73331908630982
20130113,166.73331908630982
20130114,164.70843855143733
20130115,165.13029169556944
20130116,169.06487710078036
20130117,167.604485896954
20130118,163.7252843140393
20130119,163.7252843140393
20130120,163.7252843140393
20130121,146.93238751664052
20130122,158.1880150467681
20130123,154.70782447559714
20130124,162.61933006630446
20130125,164.54574496109458
20130126,164.54574496109458
20130127,164.54574496109458
20130128,156.5959545479388
20130129,155.81523704513287
20130130,155.18967980519704
20130131,167.4980320282547
20130201,168.7019237741088
20130202,168.7019237741088
20130203,168.7019237741088
20130204,168.85743986941895
20130205,166.1070165967881
20130206,166.6652127244032
20130207,167.7575201206293
20130208,159.1791757468272
20130209,159.1791757468272
20130210,159.1791757468272
20130211,159.1791757468272
20130212,159.1791757468272
20130213,159.1791757468272
20130214,159.1791757468272
20130215,159.1791757468272
20130216,159.1791757468272
20130217,159.1791757468272
20130218,163.40668662526113
20130219,164.68617348214855
20130220,164.69128354296993
20130221,173.35848348245986
20130222,175.80215642593325
20130223,175.80215642593325
20130224,175.80215642593325
20130225,172.39971594744247
20130226,174.8879869624212
20130227,172.8195383186665
20130228,170.93488406780682
20130301,172.66039867166552
20130302,172.66039867166552
20130303,172.66039867166552
20130304,190.73957025161025
20130305,189.62148439530418
20130306,190.0323116961881
20130307,189.01402777548338
20130308,190.34698981548553
20130309,190.34698981548553
20130310,190.34698981548553
20130311,188.74181553902307
20130312,191.2822777274173
20130313,192.86901978275554
20130314,195.4315598982847
20130315,196.12863563804297
20130316,196.12863563804297
20130317,196.12863563804297
20130318,195.41610090439008
20130319,193.39483780235483
20130320,191.26469345367917
20130321,193.01987435450644
20130322,191.3915845614598
20130323,191.3915845614598
20130324,191.3915845614598
20130325,192.83773942498655
20130326,193.75197957028897
20130327,193.09461297782792
20130328,198.08949758049408
20130329,193.67679800422877
20130330,193.67679800422877
20130331,193.67679800422877
20130401,186.7167419559761
20130402,185.7598240450241
20130403,188.53719287870192
20130404,188.53719287870192
20130405,188.53719287870192
20130406,188.53719287870192
20130407,188.53719287870192
20130408,191.00414268127824
20130409,188.64608821368304
20130410,183.40326360378972
20130411,182.39564392101553
20130412,157.33502943119547
20130413,157.33502943119547
20130414,157.33502943119547
20130415,160.68288803150674
20130416,157.80102449147674
20130417,157.37967852443705
20130418,157.8635302804242
20130419,154.5076321326666
20130420,154.5076321326666
20130421,154.5076321326666
20130422,155.8870667092328
20130423,164.10015251665152
20130424,161.8237420029988
20130425,162.35226808599685
20130426,184.34836498383706
20130427,184.34836498383706
20130428,184.34836498383706
20130429,184.34836498383706
20130430,184.34836498383706
20130501,184.09186476710946
20130502,184.96014715699437
20130503,182.1321465770975
20130504,182.1321465770975
20130505,182.1321465770975
20130506,182.34322243737688
20130507,183.0226610014186
20130508,184.29381295280714
20130509,188.53706625684933
20130510,188.8878014811117
20130511,188.8878014811117
20130512,188.8878014811117
20130513,192.35007696639238
20130514,194.16100090340294
20130515,193.59554139096915
20130516,177.9334875554047
20130517,176.85706393809653
20130518,176.85706393809653
20130519,176.85706393809653
20130520,180.41534442723147
20130521,178.1483291970383
20130522,163.61636615967728
20130523,151.5506636955715
20130524,151.49014046188938
20130525,151.49014046188938
20130526,151.49014046188938
20130527,144.64892602067886
20130528,142.48172743971497
20130529,142.16830878976128
20130530,142.25045112354508
20130531,158.51581245141318
20130601,158.30351078984094
20130602,158.30351078984094
20130603,153.71669269742168
20130604,151.63772792935066
20130605,152.83379596322155
20130606,155.99339510883658
20130607,163.78025552030957
20130608,163.78025552030957
20130609,163.78025552030957
20130610,163.78025552030957
20130611,163.78025552030957
20130612,163.78025552030957
20130613,166.2529890369193
20130614,158.91632712942697
20130615,158.91632712942697
20130616,158.91632712942697
20130617,148.68437789550455
20130618,148.4107459161078
20130619,147.61329528950077
20130620,156.15259763765138
20130621,161.07082296946353
20130622,161.07082296946353
20130623,161.07082296946353
20130624,176.56693659304602
20130625,187.31064195947152
20130626,174.0605040313425
20130627,182.6290838891903
20130628,178.6440196054077
20130629,178.6440196054077
20130630,178.6440196054077
20130701,171.50682959517073
20130702,170.5180910882447
20130703,173.99315568608506
20130704,175.47750981607578
20130705,178.2447387993018
20130706,178.2447387993018
20130707,178.2447387993018
20130708,185.49850138384838
20130709,193.39080179153694
20130710,181.3747161220548
20130711,181.50506356055905
20130712,183.57477584784152
20130713,183.57477584784152
20130714,183.57477584784152
20130715,186.04634205483472
20130716,189.21823644518517
20130717,181.98190632494132
20130718,186.7664216684915
20130719,192.97956030789487
20130720,192.97956030789487
20130721,192.97956030789487
20130722,192.56872528199168
20130723,191.56160223003164
20130724,192.62632829951374
