Date,Harbin Gong Da High-Tech Enterprise Development Co Ltd
20150424,138.33088285100868
20150425,138.33088285100868
20150426,138.33088285100868
20150427,141.46102823381824
20150428,145.48488565367214
20150429,144.73394729569193
20150430,143.83244479691442
20150501,143.7378107808908
20150502,143.7378107808908
20150503,143.7378107808908
20150504,144.055965174769
20150505,141.03709560377675
20150506,139.66832883382162
20150507,138.04100833512416
20150508,139.68741746125875
20150509,139.68741746125875
20150510,139.68741746125875
20150511,146.90595747096097
20150512,146.77908545840205
20150513,150.50947706383283
20150514,135.74445044447828
20150515,121.95416169092461
20150516,121.95416169092461
20150517,121.95416169092461
20150518,107.96694112802723
20150519,98.55003857875451
20150520,88.01581357163805
20150521,78.57391487219397
20150522,70.75662731293777
20150523,70.75662731293777
20150524,70.75662731293777
20150525,62.7142250020622
20150526,55.94501529349812
20150527,49.6191294911597
20150528,42.072230458922114
20150529,79.94956423485796
20150530,79.94956423485796
20150531,79.94956423485796
20150601,74.83033628317149
20150602,68.9677465067479
20150603,63.1351184841783
20150604,58.10124055183164
20150605,53.64805838314638
20150606,53.64805838314638
20150607,53.64805838314638
20150608,51.62793555673987
20150609,54.61885863090612
20150610,50.83104905585771
20150611,51.657824983296074
20150612,53.192372658605414
20150613,53.192372658605414
20150614,53.192372658605414
20150615,54.7644601034407
20150616,59.62067198785757
20150617,59.97669227098781
20150618,65.6990703439142
20150619,69.5540680547813
20150620,69.5540680547813
20150621,69.5540680547813
20150622,69.5540680547813
20150623,68.1476138493912
20150624,69.00490331166807
20150625,68.66055739819352
20150626,72.86949308018791
20150627,72.86949308018791
20150628,72.86949308018791
20150629,82.41158255025297
20150630,107.18328567268249
20150701,114.662154644645
20150702,123.91315732091432
20150703,132.30643060479215
20150704,132.30643060479215
20150705,132.30643060479215
20150706,149.3189326817855
20150707,163.79329681251096
20150708,174.755083754063
20150709,180.78917005600283
20150710,185.15650422593768
20150711,185.15650422593768
20150712,185.15650422593768
20150713,174.3221417157721
20150714,159.36939898814586
20150715,146.72203309827304
20150716,142.10430748149787
20150717,133.49284957033097
20150718,133.49284957033097
20150719,133.49284957033097
20150720,123.60461694163239
20150721,114.25909566030181
20150722,112.724718581977
20150723,115.50837590312321
20150724,109.80802287264459
20150725,109.80802287264459
20150726,109.80802287264459
20150727,115.471249167072
20150728,125.60017914062904
20150729,119.469515155357
20150730,124.50086429805441
20150731,146.26224721348038
20150801,146.17749296972949
20150802,146.17749296972949
20150803,161.5857132764952
20150804,150.66037397357243
20150805,138.63344377839366
20150806,142.69767103228924
20150807,137.31576030176774
20150808,137.31576030176774
20150809,137.31576030176774
20150810,133.74429656666427
20150811,135.15279878035764
20150812,140.49602012630018
20150813,139.06219500497818
20150814,140.31543878072293
20150815,140.31543878072293
20150816,140.31543878072293
20150817,137.77518617323204
20150818,142.23882993946756
20150819,131.96593640176295
20150820,130.4297848081897
20150821,141.20364415749737
20150822,141.20364415749737
20150823,141.20364415749737
20150824,149.95155096463992
20150825,160.15773145390932
20150826,182.3217649318183
20150827,175.0737323507192
20150828,164.4321924539905
20150829,164.4321924539905
20150830,164.4321924539905
20150831,185.19513974969792
20150901,201.76031808566796
20150902,214.1555643575008
20150903,214.1555643575008
20150904,214.1555643575008
20150905,214.1555643575008
20150906,214.1555643575008
20150907,208.1952720202797
20150908,200.85128490140912
20150909,191.6538634801963
20150910,197.70849366595388
20150911,183.34943670686187
20150912,183.34943670686187
20150913,183.34943670686187
20150914,199.94215982409168
20150915,216.43327276189973
20150916,205.15250778197625
20150917,199.53859534465195
20150918,194.22786341283685
20150919,194.22786341283685
20150920,194.22786341283685
20150921,191.73781258062633
20150922,197.6771219121405
20150923,193.23480793974207
20150924,190.80353963674295
20150925,205.20749604266743
20150926,205.20749604266743
20150927,205.20749604266743
20150928,200.60696985489574
20150929,206.65370646680603
20150930,211.00631898960668
20151001,210.89723608781313
20151002,210.89723608781313
20151003,210.89723608781313
20151004,210.89723608781313
20151005,210.89723608781313
20151006,210.89723608781313
20151007,210.89723608781313
20151008,207.95266374344635
20151009,203.04085137419665
20151010,203.04085137419665
20151011,203.04085137419665
20151012,197.32060697536315
20151013,195.91460493184144
20151014,195.98846536967278
20151015,199.30126922720038
20151016,194.66192041983155
20151017,194.66192041983155
20151018,194.66192041983155
20151019,184.13445949940797
20151020,181.01990802582947
20151021,197.1339762972958
20151022,191.37411105412082
20151023,189.77645026887828
20151024,189.77645026887828
20151025,189.77645026887828
20151026,182.90560291221453
20151027,180.2372781827911
20151028,188.8646613566114
20151029,192.64184311288523
20151030,194.65219054471788
20151031,194.65219054471788
20151101,194.5565110925193
20151102,203.86019403950053
20151103,205.92304577495003
20151104,198.15512367566023
20151105,198.93443974202629
20151106,197.3188852971985
20151107,197.3188852971985
20151108,197.3188852971985
20151109,202.30199114398488
20151110,195.65745976959755
20151111,181.24904737363707
20151112,166.63048227291193
20151113,161.44831553268511
20151114,161.44831553268511
20151115,161.44831553268511
20151116,155.73052380547503
20151117,161.26195860946805
20151118,164.5079042846393
20151119,161.16146031655728
20151120,156.1050707033675
20151121,156.1050707033675
20151122,156.1050707033675
