Date,DongfengSci-Tech Group Co Ltd
20031205,704.2518981122312
20031206,704.2518981122312
20031207,704.2518981122312
20031208,691.9143161425159
20031209,690.3319857151487
20031210,705.0016370037599
20031211,705.7875280483838
20031212,709.319852542528
20031213,709.319852542528
20031214,709.319852542528
20031215,708.8472008252819
20031216,712.6448149252257
20031217,720.6344504511372
20031218,698.6921654471604
20031219,698.098138474475
20031220,698.098138474475
20031221,698.098138474475
20031222,687.4611254479055
20031223,668.6763315347819
20031224,660.7729871944681
20031225,627.4260530569144
20031226,627.6050809328801
20031227,627.6050809328801
20031228,627.6050809328801
20031229,637.4564553673825
20031230,625.9589094248273
20031231,625.7455406831615
20040101,619.5211308474642
20040102,701.1028953489497
20040103,701.1028953489497
20040104,701.1028953489497
20040105,718.2954260912765
20040106,690.7021248118222
20040107,687.0699939285953
20040108,678.2250178104042
20040109,688.2704826367665
20040110,688.2704826367665
20040111,688.2704826367665
20040112,687.9249965306758
20040113,667.9099468775801
20040114,660.3742775965737
20040115,660.0246999332904
20040116,656.9444412863254
20040117,656.9444412863254
20040118,656.9444412863254
20040119,656.9444412863254
20040120,656.9444412863254
20040121,656.9444412863254
20040122,656.9444412863254
20040123,656.9444412863254
20040124,656.9444412863254
20040125,656.9444412863254
20040126,656.9444412863254
20040127,656.9444412863254
20040128,656.9444412863254
20040129,654.6191110455887
20040130,664.2650795373544
20040131,664.2650795373544
20040201,657.4056450901135
20040202,647.3958258204127
20040203,650.3631483785249
20040204,628.9675695974296
20040205,637.1692803308756
20040206,661.0720566960274
20040207,661.0720566960274
20040208,661.0720566960274
20040209,655.8962701867338
20040210,664.3366469416001
20040211,661.1071191767433
20040212,652.0193825448167
20040213,638.2658638221687
20040214,638.2658638221687
20040215,638.2658638221687
20040216,635.6981405715642
20040217,641.2422603652748
20040218,640.2661953924658
20040219,647.0721356833642
20040220,645.2601022421209
20040221,645.2601022421209
20040222,645.2601022421209
20040223,658.2010992031396
20040224,651.9136946652134
20040225,653.8576779338615
20040226,661.114121029169
20040227,658.196502573814
20040228,658.196502573814
20040229,658.196502573814
20040301,655.3637444822516
20040302,654.1169677431585
20040303,660.5663187061318
20040304,666.9149079002349
20040305,670.1571460039435
20040306,670.1571460039435
20040307,670.1571460039435
20040308,696.955741529646
20040309,694.0953353378889
20040310,700.6901406656851
20040311,689.5177020287007
20040312,684.6915606483067
20040313,684.6915606483067
20040314,684.6915606483067
20040315,684.0900254512657
20040316,688.0025397804701
20040317,693.4052425844836
20040318,702.636078587022
20040319,685.4258246220791
20040320,685.4258246220791
20040321,685.4258246220791
20040322,702.6315129252829
20040323,702.5881049702139
20040324,706.774190476952
20040325,710.2099295626188
20040326,710.9034805139095
20040327,710.9034805139095
20040328,710.9034805139095
20040329,707.5134659423995
20040330,717.1146381350518
20040331,841.4048394350823
20040401,810.9642906899102
20040402,817.889486582857
20040403,817.889486582857
20040404,817.889486582857
20040405,810.933942853332
20040406,799.932993739946
20040407,789.6080658765461
20040408,801.7671077854212
20040409,809.3842018985963
20040410,809.3842018985963
20040411,809.3842018985963
20040412,800.3977964186703
20040413,808.3984935607132
20040414,811.4012564553702
20040415,806.863159054194
20040416,649.7975175076216
20040417,649.7975175076216
20040418,649.7975175076216
20040419,639.0454827493971
20040420,631.7160045577093
20040421,640.3396163009897
20040422,651.9482206558637
20040423,665.1319312180954
20040424,665.1319312180954
20040425,665.1319312180954
20040426,680.6692969378887
20040427,685.4631435510372
20040428,682.765276905352
20040429,708.4818382238755
20040430,705.2739408801372
20040501,696.5170285319036
20040502,696.5170285319036
20040503,696.5170285319036
20040504,696.5170285319036
20040505,696.5170285319036
20040506,696.5170285319036
20040507,696.5170285319036
20040508,696.5170285319036
20040509,696.5170285319036
20040510,730.1524622508567
20040511,731.1314239391629
20040512,716.2776943325541
20040513,732.4527523692738
20040514,735.620109977762
20040515,735.620109977762
20040516,735.620109977762
20040517,731.8628018553709
