Date,Al Mal Investment Co KSC
20061130,9.457455177260218
20061201,9.457455177260218
20061204,13.85340297898407
20061205,12.189184431552286
20061206,11.041215897408982
20061207,11.041215897408982
20061208,11.041215897408982
20061209,11.041215897408982
20061212,9.255346143208927
20061213,9.255346143208927
20061214,9.252212497344171
20061215,9.252212497344171
20061216,9.252212497344171
20061218,8.867556318596542
20061219,9.117097594176622
20061220,9.77060103615896
20061221,9.77060103615896
20061222,9.77060103615896
20061223,9.77060103615896
20061224,9.77060103615896
20061225,9.685915120503056
20061226,9.685915120503056
20061227,9.245586778153628
20061228,9.245586778153628
20061229,9.245586778153628
20061230,9.245586778153628
20061231,9.245586778153628
20070101,9.245586778153628
20070102,9.245586778153628
20070103,9.245586778153628
20070104,9.245586778153628
20070105,9.245586778153628
20070106,9.245586778153628
20070108,9.969207213306628
20070109,10.098832944779492
20070110,10.600639721185116
20070111,10.600639721185116
20070112,10.600639721185116
20070113,10.600639721185116
20070115,11.302110785503778
20070116,11.323068823290965
20070117,11.569099555137077
20070118,11.569099555137077
20070119,11.569099555137077
20070120,11.569099555137077
20070122,12.177392667617362
20070123,12.413455706443228
20070124,13.043696980687265
20070125,13.043696980687265
20070126,13.043696980687265
20070129,14.014695820032696
20070130,14.517583146760948
20070131,13.92104455850516
20070201,13.92104455850516
20070202,13.92104455850516
20070203,13.92104455850516
20070205,12.956720254790925
20070206,11.933619085306967
20070207,13.28423183157477
20070208,13.28423183157477
20070209,13.28423183157477
20070210,13.28423183157477
20070211,13.28423183157477
20070212,12.59488220554541
20070213,13.025298515145638
20070214,13.445081837696895
20070215,13.445081837696895
20070216,13.445081837696895
20070217,13.445081837696895
20070219,13.613761115933038
20070220,13.846527259815753
20070221,13.85732070445757
20070222,13.85732070445757
20070223,13.85732070445757
20070224,13.85732070445757
20070225,13.85732070445757
20070226,13.841118897514418
20070227,14.09239473352707
20070228,12.397876706035284
20070301,12.397876706035284
20070302,12.397876706035284
20070303,12.397876706035284
20070304,12.397876706035284
20070305,13.076772963761378
20070306,12.945458448155987
20070307,13.437926120310134
20070308,13.437926120310134
20070309,13.437926120310134
20070310,13.437926120310134
20070311,13.437926120310134
20070312,12.541951669204726
20070313,12.472189269503904
20070314,11.674277571666934
20070315,11.674277571666934
20070316,11.674277571666934
20070317,11.674277571666934
20070318,11.674277571666934
20070319,11.991749959081547
20070320,12.081248790502622
20070321,11.44155478075409
20070322,11.44155478075409
20070323,11.44155478075409
20070324,11.44155478075409
20070325,11.44155478075409
20070326,11.634692776265776
20070327,12.338896949036746
20070328,12.768602104664179
20070329,12.768602104664179
20070330,12.768602104664179
20070331,12.768602104664179
20070401,12.768602104664179
20070402,11.657948607656776
20070403,10.381943490335379
20070404,9.783459912058763
20070405,9.783459912058763
20070406,9.783459912058763
20070407,9.783459912058763
20070408,9.783459912058763
20070409,11.71825716792925
20070410,12.239117149296002
20070411,12.805311639862905
20070412,12.776856797459308
20070413,12.776856797459308
20070414,12.776856797459308
20070415,12.776856797459308
20070416,13.626840134742476
20070417,13.909342666286891
20070418,12.889251085318199
20070419,12.889251085318199
20070420,12.889251085318199
20070421,12.889251085318199
20070422,12.889251085318199
20070423,13.189303431695155
20070424,12.556266341380825
20070425,12.194047696124956
20070426,12.194047696124956
20070427,12.194047696124956
20070428,12.194047696124956
20070429,12.194047696124956
20070430,10.400288813105355
20070501,10.1730359392218
20070502,10.341492738501307
20070503,10.341492738501307
20070504,10.341492738501307
20070505,10.341492738501307
20070506,10.341492738501307
20070507,10.341492738501307
20070508,11.263826603137867
20070509,11.294664384626252
20070510,11.294664384626252
20070511,11.294664384626252
20070512,11.294664384626252
20070513,11.294664384626252
20070514,11.134328970990994
20070515,13.049657635496576
20070516,13.08648934400411
20070517,13.08648934400411
20070518,13.08648934400411
20070519,13.08648934400411
20070520,13.08648934400411
20070521,11.717611973662532
20070522,10.502571092020009
20070523,10.503757456638262
20070524,10.503757456638262
20070525,10.503757456638262
20070526,10.503757456638262
20070527,10.503757456638262
20070528,10.503757456638262
20070529,12.654446509764531
20070530,11.90889459781786
20070531,11.90889459781786
20070601,11.90889459781786
20070602,11.90889459781786
20070603,11.90889459781786
20070604,11.300070934115688
20070605,10.69789148864299
20070606,11.654584674185093
20070607,11.672491607809333
20070608,11.672491607809333
20070609,11.672491607809333
20070610,11.672491607809333
20070611,11.664331015520245
20070612,12.477381735856488
20070613,12.250895411485391
20070614,12.250895411485391
20070615,12.250895411485391
20070616,12.250895411485391
20070618,10.645344970907779
20070619,9.9522874224835
20070620,8.562713188674232
20070621,8.562713188674232
20070622,8.562713188674232
20070623,8.562713188674232
20070625,9.60551156550901
20070626,10.216435418733624
20070627,10.412070399625403
20070628,10.428787837137687
20070629,10.428787837137687
20070630,10.428787837137687
20070701,10.428787837137687
20070702,10.38761817311492
20070703,10.42789065970749
20070704,10.024310665377087
20070705,10.024310665377087
20070706,10.024310665377087
20070707,10.024310665377087
20070708,10.024310665377087
20070709,10.475420915418223
20070710,9.802157718570825
20070711,10.318553637722317
20070712,10.318553637722317
