Date,Kuwait Financial Centre SAK
20110912,5.02393806685247
20110913,5.02393806685247
20110914,5.02393806685247
20110915,5.02393806685247
20110916,5.02393806685247
20110917,5.02393806685247
20110918,5.02393806685247
20110919,4.315615260754369
20110920,4.315615260754369
20110921,4.199575011949628
20110922,4.59368512164702
20110923,4.59368512164702
20110924,4.59368512164702
20110926,4.968930366450314
20110927,4.5982698634334875
20110928,4.60810530284683
20110929,4.847842060488437
20110930,4.847842060488437
20111001,4.847842060488437
20111003,5.635156442018864
20111004,5.86226555521191
20111005,5.5297765184013015
20111006,5.5209230528832185
20111007,5.5209230528832185
20111008,5.5209230528832185
20111010,5.444867362478861
20111011,4.482712463296152
20111012,3.95166075775012
20111013,3.960045640877281
20111014,3.960045640877281
20111015,3.960045640877281
20111017,4.011687830170941
20111018,4.104779375081984
20111019,4.229567167870264
20111020,4.088357057770085
20111021,4.088357057770085
20111022,4.088357057770085
20111024,4.120002874701509
20111025,4.15787488377661
20111026,4.2901636586700995
20111027,4.117025594143655
20111028,4.117025594143655
20111029,4.117025594143655
20111031,4.31690580376848
20111101,4.44789418030747
20111102,4.734973720644976
20111103,4.490267194219015
20111104,4.490267194219015
20111105,4.490267194219015
20111106,4.490267194219015
20111107,4.490267194219015
20111108,4.490267194219015
20111109,4.490267194219015
20111110,4.490267194219015
20111111,4.490267194219015
20111112,4.490267194219015
20111114,4.7301777308115405
20111115,5.17330878676639
20111116,5.34072918828126
20111117,5.62826678176958
20111118,5.62826678176958
20111119,5.62826678176958
20111120,5.62826678176958
20111121,5.879400135347457
20111122,5.948752098142164
20111123,6.106339956793944
20111124,6.725025532260025
20111125,6.725025532260025
20111126,6.725025532260025
20111127,6.725025532260025
20111128,6.402917202844666
20111129,6.30173608689433
20111130,6.690107791203217
20111201,6.218301824659314
20111202,6.218301824659314
20111203,6.218301824659314
20111205,6.094181613982849
20111206,5.292996988818476
20111207,5.563295047920843
20111208,5.542827853268904
20111209,5.542827853268904
20111210,5.542827853268904
20111211,5.542827853268904
20111212,6.14941061995301
20111213,6.002891036589097
20111214,6.246602299259268
20111215,6.502027273481365
20111216,6.502027273481365
20111217,6.502027273481365
20111219,6.480801126521828
20111220,6.7721361307239345
20111221,6.787579348047315
20111222,6.794582831392627
20111223,6.794582831392627
20111224,6.794582831392627
20111226,7.040135243748864
20111227,7.055049102308809
20111228,7.062784902726953
20111229,6.7940533211393745
20111230,6.7940533211393745
20111231,6.7940533211393745
20120101,6.7940533211393745
20120102,6.821036252005085
20120103,7.32821741027474
20120104,7.019205106326861
20120105,7.47534736310155
20120106,7.47534736310155
20120107,7.47534736310155
20120109,8.03151786889943
20120110,7.57797564608041
20120111,7.804015461096877
20120112,7.796412741928986
20120113,7.796412741928986
20120114,7.796412741928986
20120116,7.229762581811054
20120117,6.974034987960087
20120118,7.21947169831112
20120119,7.70239648907171
20120120,7.70239648907171
20120121,7.70239648907171
20120123,7.787854231538728
20120124,7.543743247095269
20120125,8.041854236464955
20120126,7.770438365137236
20120127,7.770438365137236
20120128,7.770438365137236
20120130,7.646951838799307
20120131,8.295273590772718
20120201,8.680738025769513
20120202,8.680738025769513
20120203,8.680738025769513
20120204,8.680738025769513
20120206,8.529754181712672
20120207,8.510320100751848
20120208,8.431370153732379
20120209,8.901023694069764
20120210,8.901023694069764
20120211,8.901023694069764
20120213,8.696025821997544
20120214,7.447050149393702
20120215,7.819223328462207
20120216,7.215395304058756
20120217,7.215395304058756
20120218,7.215395304058756
20120220,7.196360825426191
20120221,6.74756792614339
20120222,6.6244668976446555
20120223,6.823116604154208
20120224,6.823116604154208
20120225,6.823116604154208
20120226,6.823116604154208
20120227,6.823116604154208
20120228,6.435207257489173
20120229,6.6917629856317005
20120301,6.476030766128073
20120302,6.476030766128073
20120303,6.476030766128073
20120305,5.761153446641399
20120306,6.145723233542419
20120307,6.1287518348584245
20120308,6.11147510541053
20120309,6.11147510541053
