Date,Goldman Sachs Group Inc/The
20050619,246.96737599487295
20050620,249.8122632261508
20050621,253.46181471729443
20050622,253.21897184829925
20050623,252.57540455700519
20050624,243.5115604902537
20050625,243.5115604902537
20050626,243.5115604902537
20050627,247.61183452074474
20050628,246.6501534387615
20050629,251.76453425427033
20050630,253.97310398550292
20050701,258.6146686114477
20050702,258.6146686114477
20050703,258.6146686114477
20050704,258.6146686114477
20050705,270.986877728401
20050706,268.8232749783734
20050707,265.3726238803969
20050708,262.2174576179597
20050709,262.2174576179597
20050710,262.2174576179597
20050711,256.2724357836325
20050712,257.1327202605449
20050713,253.80409338233227
20050714,252.3519040481179
20050715,254.14282445654564
20050716,254.14282445654564
20050717,254.14282445654564
20050718,256.5923886688397
20050719,251.05347868290232
20050720,252.16621790902673
20050721,260.84380909619057
20050722,257.7017755017109
20050723,257.7017755017109
20050724,257.7017755017109
20050725,264.23218278725176
20050726,268.1415215526739
20050727,260.6502153224822
20050728,259.2329848825254
20050729,271.7202027010333
20050730,271.7202027010333
20050731,271.7202027010333
20050801,280.0612274241105
20050802,268.2164566551931
20050803,262.9317646847653
20050804,270.1276971286237
20050805,270.0442035816916
20050806,270.0442035816916
20050807,270.0442035816916
20050808,273.08639329644996
20050809,266.0990996386112
20050810,260.94463804966597
20050811,253.2796894485173
20050812,256.7502661614089
20050813,256.7502661614089
20050814,256.7502661614089
20050815,253.68948883141843
20050816,260.89852774971655
20050817,266.136686657761
20050818,264.74331422551313
20050819,264.2640226737853
20050820,264.2640226737853
20050821,264.2640226737853
20050822,262.35292325676755
20050823,261.7421038967565
20050824,269.6507580225476
20050825,266.49013605676294
20050826,269.7102042972277
20050827,269.7102042972277
20050828,269.7102042972277
20050829,269.3298228507895
20050830,270.90448124814515
20050831,239.4608351794697
20050901,233.86777115295052
20050902,231.50546630477
20050903,231.50546630477
20050904,231.50546630477
20050905,231.50546630477
20050906,229.79657669712594
20050907,228.73128519654563
20050908,228.002487148021
20050909,225.27498662745742
20050910,225.27498662745742
20050911,225.27498662745742
20050912,218.25110771990953
20050913,219.9417502303099
20050914,224.78296880353975
20050915,226.02069236283162
20050916,218.24425925035635
20050917,218.24425925035635
20050918,218.24425925035635
20050919,217.68250645677958
20050920,255.40051229807696
20050921,263.3954665611103
20050922,253.34667643320154
20050923,251.08871243621843
20050924,251.08871243621843
20050925,251.08871243621843
20050926,250.3502427769021
20050927,253.0570106072178
20050928,250.76610309691407
20050929,247.41438908855508
20050930,243.88131180665673
20051001,248.70722743475397
20051002,248.70722743475397
20051003,247.4223409162919
20051004,257.66189948815
20051005,276.93013159923146
20051006,279.1557954066689
20051007,278.37107937458416
20051008,278.37107937458416
20051009,278.37107937458416
20051010,274.29764573491065
20051011,279.6800151078781
20051012,288.62812887211504
20051013,303.39298481902637
20051014,299.7385482201675
20051015,299.7385482201675
20051016,299.7385482201675
20051017,288.03006638169467
20051018,284.1676434289543
20051019,268.95316035255416
20051020,278.54877749944563
20051021,278.1537176418847
20051022,278.1537176418847
20051023,278.1537176418847
20051024,263.1857449735838
20051025,262.46516502606306
20051026,256.52256478332924
20051027,260.33167525601743
20051028,254.55153304612898
20051029,254.55153304612898
20051030,254.55153304612898
20051031,250.28451202417057
20051101,253.55426483487173
20051102,245.16192710690564
20051103,244.31476911342708
20051104,235.2445130156332
20051105,235.2445130156332
20051106,235.2445130156332
20051107,243.45842115430082
20051108,249.53764221131976
20051109,245.84100613862225
20051110,241.60298621516412
20051111,241.46412309132467
20051112,241.46412309132467
20051113,241.46412309132467
20051114,244.3389514191002
20051115,248.56136749616869
20051116,248.46306931973524
20051117,240.21830271441746
20051118,236.83107062344263
20051119,236.83107062344263
20051120,236.83107062344263
20051121,236.72574397191147
20051122,235.09695316116176
20051123,231.20801735241375
20051124,231.20801735241375
20051125,230.9478877565161
20051126,230.9478877565161
20051127,230.9478877565161
20051128,241.653837165893
20051129,245.36987556312016
20051130,233.5551013668049
20051201,233.31028848382735
20051202,230.4604933417968
20051203,230.4604933417968
20051204,230.4604933417968
20051205,223.42746358816993
20051206,230.0478088407251
20051207,236.63299977680768
20051208,240.37351797466064
20051209,236.6936442170744
20051210,236.6936442170744
20051211,236.6936442170744
20051212,236.94069963639225
20051213,230.35580696290594
20051214,237.73875425317775
20051215,276.6526231616126
20051216,285.0142429238307
20051217,285.0142429238307
20051218,285.0142429238307
20051219,293.52726851197883
20051220,290.40297300371753
20051221,282.23664763355265
20051222,278.889590258466
20051223,278.0665466874231
20051224,278.0665466874231
20051225,278.0665466874231
20051226,278.0665466874231
20051227,277.38570901055914
20051228,277.63735334342226
20051229,277.30631575757207
20051230,284.30042080649434
20051231,284.30042080649434
20060101,290.2302501925899
20060102,290.2302501925899
20060103,290.2487506152647
20060104,301.6353581765117
20060105,303.13285651133185
20060106,296.1767478920955
20060107,296.1767478920955
20060108,296.1767478920955
20060109,290.47471734151566
20060110,282.8433906353237
20060111,285.71930534624477
20060112,282.22262661854785
20060113,279.61061225185676
20060114,279.61061225185676
20060115,279.61061225185676
20060116,279.61061225185676
20060117,281.66114254555134
20060118,282.68540358440794
20060119,277.55408952155756
20060120,286.1227092075335
20060121,286.1227092075335
20060122,286.1227092075335
20060123,282.154340975245
20060124,283.31513890491004
20060125,281.02280636248514
20060126,265.7272741234587
20060127,261.7024700851582
20060128,261.7024700851582
20060129,261.7024700851582
20060130,260.13551779182484
20060131,254.15311893864478
20060201,257.50248775912024
20060202,252.38924997865905
20060203,251.6425050600304
20060204,251.6425050600304
20060205,251.6425050600304
20060206,251.16886746345273
20060207,269.01905289836645
20060208,264.0927168203515
20060209,266.9439520681438
20060210,267.91766392766897
20060211,267.91766392766897
20060212,267.91766392766897
20060213,271.49431959616896
20060214,264.99581143075375
20060215,252.37602201007013
20060216,251.0921083185281
20060217,253.59310883801126
20060218,253.59310883801126
20060219,253.59310883801126
20060220,253.59310883801126
20060221,262.3963392625809
20060222,258.1629505197497
20060223,263.5994620067759
20060224,262.0982230052988
20060225,262.0982230052988
20060226,262.0982230052988
20060227,263.8120626997483
20060228,250.02240753959148
20060301,249.65142242926476
20060302,246.35396604446782
20060303,238.93555536749514
20060304,238.93555536749514
20060305,238.93555536749514
20060306,240.57918078756478
20060307,242.71520693523757
20060308,250.8204603386676
20060309,254.91116270530338
20060310,257.1093691126177
20060311,257.1093691126177
20060312,257.1093691126177
20060313,263.3707604073351
20060314,261.17432997833424
20060315,265.6352847544651
20060316,271.96192230636893
20060317,262.4291952093931
20060318,262.4291952093931
20060319,262.4291952093931
20060320,255.94234325097216
20060321,266.91395774537176
20060322,261.1101636915159
20060323,261.93461805634684
20060324,260.3108952495302
20060325,260.3108952495302
20060326,260.3108952495302
20060327,250.62890478283256
20060328,253.33234661910708
20060329,247.43616070902908
20060330,245.57896673324427
20060331,243.15716910360365
20060401,248.49873672638037
20060402,248.49873672638037
20060403,247.25214028751853
20060404,238.33179483916427
20060405,249.30013447589135
20060406,245.10435064793407
20060407,246.20336757905008
20060408,246.20336757905008
20060409,246.20336757905008
20060410,243.99796552890774
20060411,253.81250679016566
20060412,252.74061391224282
20060413,256.6049577319767
20060414,256.6049577319767
20060415,256.6049577319767
20060416,256.6049577319767
20060417,252.6425883150698
20060418,243.23403227786142
20060419,238.58353748483688
20060420,236.69021056316728
20060421,242.00614013164292
20060422,242.00614013164292
20060423,242.00614013164292
20060424,245.60842820077943
20060425,252.52145220645485
20060426,253.72719144180775
20060427,251.42000995942195
20060428,269.15120826424544
20060429,269.15120826424544
20060430,269.15120826424544
20060501,289.1324536768671
20060502,280.30165239355523
20060503,279.3576367459581
20060504,283.1179254359311
20060505,262.03140433722945
20060506,262.03140433722945
20060507,262.03140433722945
20060508,266.5597588598619
20060509,257.8870974747688
20060510,266.0548015155856
20060511,280.3976899123232
20060512,293.1174631347478
20060513,293.1174631347478
20060514,293.1174631347478
20060515,308.216707698645
20060516,307.3385371554345
20060517,322.5936015462169
20060518,324.1209762398195
20060519,314.41243278711244
20060520,314.41243278711244
20060521,314.41243278711244
20060522,330.3855707694581
20060523,340.792587584072
20060524,339.77010579464525
20060525,328.51806283687085
20060526,304.01726412287616
20060527,304.01726412287616
20060528,304.01726412287616
20060529,304.01726412287616
20060530,314.81182108760726
20060531,302.4067998424759
20060601,299.2008576486238
20060602,296.2319886063771
20060603,296.2319886063771
20060604,296.2319886063771
20060605,311.0722588629395
20060606,316.18353586148083
20060607,312.8767937820036
20060608,314.57297129220916
20060609,312.2979488811799
20060610,312.2979488811799
20060611,312.2979488811799
20060612,334.40820905124474
20060613,401.084522312815
20060614,408.3089827015456
20060615,382.23534723066604
20060616,381.78541912046165
20060617,381.78541912046165
20060618,381.78541912046165
20060619,381.32996619819846
20060620,373.40004225876555
20060621,353.0768709166556
20060622,360.4209362665695
20060623,365.28940875119133
20060624,365.28940875119133
20060625,365.28940875119133
20060626,360.16152799871253
20060627,371.2347529534299
20060628,374.9106016313928
20060629,352.1492952453302
20060630,356.5447002073427
20060701,364.7064824283718
20060702,364.7064824283718
20060703,357.82889889225146
20060704,357.82889889225146
20060705,362.71506721925545
20060706,367.4086416001364
20060707,375.2758994290232
20060708,375.2758994290232
20060709,375.2758994290232
20060710,372.4884369334751
20060711,372.7048157956516
20060712,387.7555413681731
20060713,398.5813699659774
20060714,410.5808274187239
20060715,410.5808274187239
20060716,410.5808274187239
20060717,407.1550875089223
20060718,401.5396095126951
20060719,377.7194843748347
20060720,383.08751972709234
20060721,400.8058555242551
20060722,400.8058555242551
20060723,400.8058555242551
20060724,377.94530388694085
20060725,372.0968874903734
20060726,376.4946267433761
20060727,369.62717595590095
20060728,353.2252174461837
20060729,353.2252174461837
20060730,353.2252174461837
20060731,347.8825067757629
20060801,362.2995146639925
20060802,369.1458911676447
20060803,358.59697650542927
20060804,354.5827789676093
20060805,354.5827789676093
20060806,354.5827789676093
20060807,358.83012788802506
20060808,363.9480759603856
20060809,368.6474613270533
20060810,362.42163664890126
20060811,363.4731828557129
20060812,363.4731828557129
20060813,363.4731828557129
20060814,370.7453946649555
20060815,361.03266290673105
20060816,353.3176888272532
20060817,356.90001571749343
20060818,357.15469645691195
20060819,357.15469645691195
20060820,357.15469645691195
20060821,360.7034434977822
20060822,359.24423914020747
20060823,366.2392337405036
20060824,375.33382930027653
20060825,381.3377389307956
20060826,381.3377389307956
20060827,381.3377389307956
20060828,388.6922904792618
20060829,401.0222042409222
20060830,401.6677328782853
20060831,390.7716332746325
20060901,398.3852981961188
20060902,398.3852981961188
20060903,398.3852981961188
20060904,398.3852981961188
20060905,389.37276563825895
20060906,386.8719244698743
20060907,396.372314208319
20060908,391.58181485479275
20060909,391.58181485479275
20060910,391.58181485479275
20060911,384.419307646112
20060912,370.38605489172795
20060913,360.6734721531769
20060914,354.3681043100714
20060915,354.6378270261323
20060916,354.6378270261323
20060917,354.6378270261323
20060918,351.3447962320798
20060919,350.5099807430293
20060920,340.4232873480103
20060921,337.61725066273596
20060922,333.74647501186917
20060923,333.74647501186917
20060924,333.74647501186917
20060925,331.82151894986754
20060926,334.44943483655925
20060927,332.93202555296835
20060928,329.69721530675235
20060929,322.9766948302242
20060930,322.9766948302242
20061001,330.6964876118203
20061002,323.5477098251406
20061003,310.3851170791037
20061004,314.8532364848776
20061005,323.8816750668596
20061006,324.8816807242756
20061007,324.8816807242756
20061008,324.8816807242756
20061009,318.0325247348478
20061010,315.93898115172425
20061011,315.9768254763968
20061012,310.89233089035463
