Date,CRED Holding Co Ltd
20090619,99.15761698504399
20090620,99.15761698504399
20090621,99.15761698504399
20090622,98.49248240731414
20090623,99.19892774885614
20090624,99.03264646960419
20090625,98.06431221472758
20090626,98.16453750352284
20090627,98.16453750352284
20090628,98.16453750352284
20090629,100.2476979506183
20090630,100.24755141598892
20090701,101.04782618600436
20090702,101.62856021630034
20090703,101.32534155185589
20090704,101.32534155185589
20090705,101.32534155185589
20090706,102.15448705419861
20090707,100.41883313385975
20090708,91.56538377717565
20090709,91.71770121229956
20090710,92.08157283836941
20090711,92.08157283836941
20090712,92.08157283836941
20090713,88.8403826803078
20090714,84.93879749784668
20090715,83.85430723191506
20090716,86.03869623619657
20090717,82.13497114355499
20090718,82.13497114355499
20090719,82.13497114355499
20090720,77.62564977125282
20090721,73.55631057876133
20090722,71.44515948308812
20090723,68.88257405913153
20090724,65.13654056715859
20090725,65.13654056715859
20090726,65.13654056715859
20090727,62.37042419889685
20090728,59.031388296920134
20090729,55.155853988895004
20090730,58.85888573548796
20090731,65.23793384175988
20090801,64.77512756789943
20090802,64.77512756789943
20090803,67.16281305421914
20090804,71.55681669953397
20090805,70.87272476991227
20090806,72.05415976846928
20090807,64.07807928630412
20090808,64.07807928630412
20090809,64.07807928630412
20090810,67.65823901047678
20090811,69.01677528569327
20090812,71.5647412652378
20090813,74.68749477143174
20090814,70.22174681631883
20090815,70.22174681631883
20090816,70.22174681631883
20090817,65.00560989820777
20090818,63.240099538604035
20090819,58.855327373559355
20090820,61.852158191973245
20090821,62.12893085355132
20090822,62.12893085355132
20090823,62.12893085355132
20090824,65.22318216515853
20090825,67.49632332906843
20090826,66.86194388953652
20090827,68.45810445693216
20090828,64.34680412835704
20090829,64.34680412835704
20090830,64.34680412835704
20090831,66.61599794387872
20090901,70.4361266368185
20090902,72.26895270789618
20090903,70.87433026996634
20090904,70.78108040532882
20090905,70.78108040532882
20090906,70.78108040532882
20090907,70.90659165762051
20090908,72.17282947493966
20090909,71.56619980368863
20090910,72.8269504266019
20090911,74.06141688457497
20090912,74.06141688457497
20090913,74.06141688457497
20090914,70.76988689686327
20090915,67.3780633688874
20090916,66.32479479423122
20090917,67.40581759788127
20090918,70.52353830046931
20090919,70.52353830046931
20090920,70.52353830046931
20090921,66.94894555699388
20090922,67.77823199890042
20090923,67.31425137126473
20090924,65.19892032761727
20090925,62.92386489945945
20090926,62.92386489945945
20090927,62.92386489945945
20090928,64.23583705184028
20090929,67.58436364564446
20090930,65.66805264440217
20091001,65.20707918954307
20091002,65.20707918954307
20091003,65.20707918954307
20091004,65.20707918954307
20091005,65.20707918954307
